City_ID,City,Country,Latitude,Longitude,Max Temperature,Humidity (%),Cloudiness,Wind Speed,Datetime (Local)
455,goundam,ML,16.4145,-3.6708,29.08,17,43,2.82,1681954622
456,westport,US,41.1415,-73.3579,10.68,59,0,1.54,1681954040
457,singaraja,ID,-8.112,115.0882,29.67,67,91,0.45,1681954623
458,lubao,PH,14.9167,120.55,31.04,61,18,2.98,1681954623
459,ceerigaabo,SO,10.6162,47.368,16.29,67,22,1.76,1681954624
460,great bend,US,38.3645,-98.7648,25.07,22,0,1.54,1681954364
461,dodge city,US,37.7528,-100.0171,25.52,13,100,1.79,1681954423
462,ouro preto do oeste,BR,-10.7481,-62.2158,23.47,96,100,0.32,1681954625
463,yelizovo,RU,53.1873,158.3805,7.08,53,75,7,1681954626
464,golbasi,TR,37.7836,37.6367,12.31,90,98,2.42,1681954627
465,tofol,FM,5.3248,163.0078,27.9,79,60,5.9,1681954473
466,harper,LR,4.375,-7.7169,25.35,87,100,1.84,1681954465
467,polyarnyy,RU,69.1989,33.4478,3.16,93,100,8.88,1681954419
468,ghatsila,IN,22.6,86.4833,27.25,13,6,2.29,1681954628
469,catarama,EC,-1.5833,-79.4667,23.9,97,100,0.94,1681954629
470,baturaja,ID,-4.1333,104.1667,25.63,90,100,0.24,1681954629
471,porto novo,BJ,6.4965,2.6036,27.9,80,100,2.08,1681954630
472,kuraymah,SD,18.55,31.85,26.26,12,0,4.64,1681954630
473,rumbek,SS,6.802,29.6912,25.13,72,100,1.57,1681954631
474,yazd,IR,31.8972,54.3675,19.06,20,0,2.06,1681954632
475,magomeni,TZ,-6.8,39.25,24.21,100,20,2.57,1681954633
476,kapa'a,US,22.0752,-159.319,27.33,67,40,7.2,1681954634
477,grand baie,MU,-20.0182,57.5802,25.26,81,8,2.24,1681954346
478,nuku'alofa,TO,-21.1333,-175.2,27.19,78,75,6.69,1681954635
479,antofagasta,CL,-23.65,-70.4,17.6,85,58,0.25,1681954303
480,skowhegan,US,44.7651,-69.7192,6.31,79,6,2.71,1681954636
481,morant bay,JM,17.8815,-76.4093,27.79,84,4,3,1681954636
482,white river,ZA,-25.3318,31.0117,12.53,88,0,1.03,1681954636
483,sungai raya,ID,0.7,108.9,30.61,63,92,0.52,1681954636
484,edmundston,CA,47.3737,-68.3251,4.63,74,20,5.14,1681954362
485,mazagao,BR,-0.115,-51.2894,26.03,94,94,1.24,1681954637
486,cuamba,MZ,-14.8031,36.5372,17.77,99,18,1.36,1681954638
487,manatutu,,,,,,,,
488,flin flon,CA,54.7682,-101.865,-2.14,91,100,5.02,1681954639
489,tobelo,ID,1.7284,128.0095,29.14,71,35,1.98,1681954372
490,pangody,RU,65.85,74.4859,-11.43,94,74,1.56,1681954639
491,huicheng,CN,23.0385,116.2899,25.69,83,88,1.14,1681954639
492,hami,CN,42.8,93.45,8.37,14,48,1.82,1681954199
493,den helder,NL,52.9599,4.7593,8.99,73,5,5.81,1681954382
494,queenstown,ZA,-31.8976,26.8753,14.53,33,75,2.99,1681954311
495,raposa,BR,-6.5167,-44.1833,21.7,95,100,0.84,1681954641
496,devonport,AU,-41.1667,146.35,17.79,82,100,0.89,1681954641
497,goth phulji,PK,26.8825,67.6807,27.07,19,2,3.87,1681954642
498,usevia,TZ,-7.1,31.2333,17.89,97,27,1.51,1681954642
499,port moresby,PG,-9.4431,147.1797,30.68,55,40,5.14,1681954643
500,kingston,JM,17.997,-76.7936,27.53,81,20,5.66,1681954346
501,brisas de zicatela,MX,15.8369,-97.0419,28.29,65,40,3.09,1681954643
502,tazacorte,ES,28.629,-17.9293,18.54,84,100,2.06,1681954361
503,trevelin,AR,-43.0858,-71.4639,14.71,91,100,1.28,1681954644
504,turochak,RU,52.2576,87.1224,-6.07,85,100,1.3,1681954644
505,selfoss,IS,63.9331,-20.9971,6.57,93,4,2.4,1681954434
506,long xuyen,VN,10.3833,105.4167,28.97,60,100,4.07,1681954645
507,lebowakgomo,ZA,-24.2,29.5,11.25,69,0,1.87,1681954646
508,lethem,GY,3.3803,-59.7968,27.37,67,77,4.51,1681954237
509,makurazaki,JP,31.2667,130.3167,18.78,74,100,6.97,1681954647
510,chegdomyn,RU,51.1167,133.0167,3.05,83,100,3.31,1681954647
511,murzuq,LY,25.9155,13.9184,19.71,17,86,4.81,1681954309
512,talagang,PK,32.9297,72.4158,17.3,75,32,1.55,1681954648
513,ashburton,AU,-37.8626,145.0794,18.85,64,20,0.45,1681954648
514,port-de-paix,,,,,,,,
515,rokytne,UA,51.2796,27.214,6.03,87,62,2.89,1681954649
516,saint-philippe,RE,-21.3585,55.7679,24.77,84,34,5.36,1681954107
517,valjevo,RS,44.2751,19.8982,9.07,81,97,1.54,1681954650
518,lompoc,US,34.6391,-120.4579,21.12,75,0,11.18,1681954302
519,hopelchen,MX,19.7667,-89.85,28.86,52,15,2.88,1681954651
520,arteche,PH,12.2645,125.4048,29.62,70,16,3.66,1681954483
521,asipovichy,BY,53.2933,28.6422,6.34,84,43,3.32,1681954652
522,jokioinen,FI,60.8016,23.48,1.05,82,21,1.48,1681954652
523,miyaly,KZ,48.8844,53.7836,7.54,41,100,4.26,1681954652
524,greenland,US,43.0362,-70.8328,8.31,57,100,4.12,1681954653
525,kismayo,SO,-0.3582,42.5454,27.29,81,99,4.03,1681954654
526,valdivia,CL,-39.8142,-73.2459,10.05,96,94,1.33,1681954657
527,labytnangi,RU,66.6572,66.4183,-7.94,91,100,1.52,1681954657
528,st. paul,US,44.9444,-93.0933,5.72,81,100,8.94,1681954455
529,puerto lleras,CO,3.0223,-73.4044,22.82,95,100,1.48,1681954658
530,alofi,NU,-19.0595,-169.9187,27.94,83,75,4.12,1681954658
531,minas de marcona,PE,-15.2119,-75.1103,16.36,80,8,3.25,1681954370
532,flagstaff,US,35.1981,-111.6513,12.81,17,0,4.12,1681954567
533,hirapur hamesha,IN,21.5333,79.7667,32.24,23,14,2.01,1681954659
534,razole,IN,16.4833,81.8333,29.85,65,6,2.65,1681954659
535,tshabong,BW,-26.05,22.45,17.6,27,0,5,1681954340
536,page,US,36.9147,-111.4558,15.88,9,0,7.15,1681954607
537,reggane,DZ,26.7158,0.1714,24.72,16,0,4.53,1681954399
538,puerto yuca,CO,2.9383,-73.2083,23.35,93,100,1.42,1681954660
539,shaowu,CN,27.3409,117.4831,22.72,87,100,1.06,1681954660
540,corinto,GR,37.9407,22.9573,10.5,79,5,3.36,1681954661
541,lorengau,PG,-2.0226,147.2712,28.19,78,80,2.84,1681954661
542,conception bay south,CA,47.4999,-52.9981,1.91,94,100,6.31,1681954661
543,nova olinda do norte,BR,-3.8881,-59.0942,24.46,90,100,0.46,1681954661
544,yanchep,AU,-31.55,115.6833,22.01,33,48,5.68,1681954662
545,belyy yar,RU,53.6039,91.3903,-3.06,54,0,5,1681954662
546,guatire,VE,10.4762,-66.5427,21.22,95,96,0.95,1681954662
547,baglung,NP,28.2719,83.5898,26.16,23,99,1.31,1681954662
548,sungai penuh,ID,-2.0833,101.3833,22.29,77,100,0.26,1681954662
549,laguna,US,38.421,-121.4238,18.99,29,0,4.63,1681954348
550,'ali sabieh,DJ,11.1558,42.7125,25.07,84,86,6.97,1681954663
551,saldanha,ZA,-33.0117,17.9442,15.85,94,100,8.71,1681954306
552,cao bang,VN,22.6667,106.25,27.83,78,84,1.62,1681954663
553,dedza,MW,-14.3779,34.3332,11.95,94,17,0.84,1681954663
554,jeremoabo,BR,-10.075,-38.4808,25.49,72,100,1.96,1681954664
555,puerto baquerizo moreno,EC,-0.9,-89.6,25.99,80,100,3.6,1681954664
556,gadzhiyevo,RU,69.2551,33.3362,2.99,92,100,8.99,1681954115
557,novodvinsk,RU,64.4165,40.8122,1.86,99,100,2.23,1681954664
558,machico,PT,32.7,-16.7667,18.34,79,20,1.03,1681954665
559,madalena,PT,41.2162,-8.3345,14.7,86,18,0.64,1681954665
560,nizhniy kuranakh,RU,58.8353,125.4869,-1.81,83,100,3.4,1681954665
561,tsengel,MN,49.4783,100.8894,-3.72,59,100,2.64,1681954381
562,tshikapa,CD,-6.4167,20.8,21.58,95,55,0.86,1681954666
563,zhangye,CN,38.9342,100.4517,7.94,13,100,4.15,1681954666
564,pathein,MM,16.7833,94.7333,31.63,57,10,4.06,1681954666
565,weno,FM,7.4515,151.8468,30.97,74,75,4.63,1681954298
566,gamba,GA,-2.65,10,24.45,95,100,2.2,1681954455
567,atar,MR,20.5169,-13.0499,24.34,23,97,0.94,1681954667
568,valparaiso,CL,-33.0393,-71.6273,17.22,55,0,2.57,1681954347
569,plettenberg bay,ZA,-34.0527,23.3716,16.96,79,96,2.4,1681954667
570,kapuskasing,CA,49.4169,-82.4331,-0.95,80,75,3.09,1681954456
571,mozarlandia,BR,-14.7447,-50.5706,22.5,93,100,0.35,1681954668
572,beidaihehaibin,CN,39.8222,119.5181,12.04,49,100,10.99,1681954668
573,erdenet,MN,49.0333,104.0833,-4.58,33,100,1.35,1681954668
574,nato,PH,13.6105,123.5356,30.24,71,21,2.43,1681954668
575,talara,PE,-4.5772,-81.2719,26.09,81,97,4.46,1681954669
576,kirakira,SB,-10.4544,161.9205,28.75,70,99,2.63,1681954669
577,bang saphan,TH,11.2126,99.5117,31.7,59,56,3.01,1681954669
578,zheleznodorozhnyy,RU,55.7503,38.0042,5.75,68,79,2.42,1681954669
579,harstad,NO,68.799,16.5293,6.45,96,100,6.71,1681954312
580,caleta de carquin,PE,-11.0925,-77.6267,23.6,82,66,4.46,1681954670
581,tinajo,ES,29.0788,-13.7081,17.49,77,20,1.03,1681954670
582,orkelljunga,,,,,,,,
583,lazaro cardenas,MX,17.9583,-102.2,25.29,78,21,2.99,1681954671
